 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Cons.Res.ForaÁreaCons.<1 anoCons.1a4anosCons.5a9anosCons.10a14anosCons.15a19anosCons.20a39anosCons.40a49anosCons.50a59anosCons.60 e maisAtend.PuericulturaAtend.Pré-NatalAtend Prev-citologAtend.DST/AIDSAtend.DiabetesAtend.Hiper.Arter.Atend.HanseníaseAtend.TuberculoseEx.Patologia Clín.Ex.RadiodiagnósticEx.CitopatológicoEx.UltrassonografEx.OutrosEncam.Atend.Espec.Encam.Int.HospitalEncam.Urg./EmergIntern.DomiciliarAtend.Espec.AcTrabVis.Insp.SanitáriaAtend.Indiv.EnfermAtend.Ind.Prof.NS.CurativosInalaçõesInjeçõesRetirada de pontosTerap.Reid.OralSuturaAtend.GrupoProc.Coletiv(PC1)ReuniõesVisita MédicoVisita Enferm.Vis Outr.Prof.NS.Vis Prof.Niv.MédioValvul.Reum.5-14a.AVCInfartoDHEG(Forma Grave)DoençaHemol.Perin.FraturaColoFêmurMening.TuberculosaHans.Grau II e IIICit.Oncot NIC IIIPneum. <5 anos por Município
Período:2013-2015
"Município";"Cons.Res.ForaÁrea";"Cons.<1_ano";"Cons.1a4anos";"Cons.5a9anos";"Cons.10a14anos";"Cons.15a19anos";"Cons.20a39anos";"Cons.40a49anos";"Cons.50a59anos";"Cons.60_e_mais";"Atend.Puericultura";"Atend.Pré-Natal";"Atend_Prev-citolog";"Atend.DST/AIDS";"Atend.Diabetes";"Atend.Hiper.Arter.";"Atend.Hanseníase";"Atend.Tuberculose";"Ex.Patologia_Clín.";"Ex.Radiodiagnóstic";"Ex.Citopatológico";"Ex.Ultrassonograf";"Ex.Outros";"Encam.Atend.Espec.";"Encam.Int.Hospital";"Encam.Urg./Emerg";"Intern.Domiciliar";"Atend.Espec.AcTrab";"Vis.Insp.Sanitária";"Atend.Indiv.Enferm";"Atend.Ind.Prof.NS.";"Curativos";"Inalações";"Injeções";"Retirada_de_pontos";"Terap.Reid.Oral";"Sutura";"Atend.Grupo";"Proc.Coletiv(PC1)";"Reuniões";"Visita_Médico";"Visita_Enferm.";"Vis_Outr.Prof.NS.";"Vis_Prof.Niv.Médio";"Valvul.Reum.5-14a.";"AVC";"Infarto";"DHEG(Forma_Grave)";"DoençaHemol.Perin.";"FraturaColoFêmur";"Mening.Tuberculosa";"Hans.Grau_II_e_III";"Cit.Oncot_NIC_III";"Pneum._<5_anos"
"110001 Alta Floresta D'Oeste";34745;1963;2589;3050;3154;4089;6873;5994;5140;5474;501;3139;2986;184;1998;5518;600;46;329321;1270;1694;898;1299;2562;69;118;-;-;-;6087;594;1042;817;1106;285;27;-;543;291;138;1170;1131;162;1252;-;-;-;-;-;-;-;-;-;-
"110037 Alto Alegre dos Parecis";289;994;2193;2322;2536;2826;7638;5479;5014;6552;855;4517;3647;3563;2369;9853;1756;56;2777;438;126;1713;2720;1144;131;401;54;772;49;28656;5171;873;535;1592;300;248;99;411;46599;198;6534;6557;2898;5388;-;1;1;1;-;-;-;65;-;1
"110040 Alto Paraíso";4299;736;3574;3557;3164;3639;13350;6729;5321;6773;1604;4846;1839;646;1726;6112;129;17;6880;1229;358;459;1636;1094;144;234;81;39;-;10593;1016;183;15;49;27;17;10;261;736;259;316;291;1;154;-;-;-;-;-;1;-;1;-;2
"110034 Alvorada D'Oeste";377;2007;2635;3352;3837;4508;11779;8976;8789;9478;849;1375;1042;121;3138;5672;24;5;28350;11300;1147;884;14797;1009;231;334;832;-;863;19377;9556;6894;3059;14760;793;2624;303;376;22;274;1503;1525;720;1881;-;-;-;-;-;-;-;-;-;-
"110002 Ariquemes";7709;1605;4353;5249;7812;12660;53601;32645;28438;314275;14345;20759;17353;2898;12614;53661;384;215;47530;5989;2837;2863;15146;4349;442;791;781;3267;15018;109933;19635;29863;9930;26820;13668;2039;1578;3101;7360;784;2657;2173;52;5358;4;1;31;1;-;2;-;17;18;6
"110045 Buritis";47;1042;3368;3785;3660;4741;19957;12168;11007;10925;2033;8112;5330;570;2031;8358;1352;178;3669;147;1417;2957;1929;1678;60;7;-;41;406;22122;135767;4817;644;626;746;107;700;5815;14802;158;55;54;24;48;-;-;3;-;-;-;-;-;-;-
"110003 Cabixi";122;329;781;925;792;992;4405;2683;2511;3357;50;1017;689;450;662;2248;65;17;811;37;61;244;1387;113;5;26;1;-;-;3965;1029;1335;246;570;70;34;11;231;14;216;173;939;146;68;-;2;-;-;-;-;-;-;-;1
"110060 Cacaulândia";-;205;805;939;689;711;2716;1177;1279;1517;167;1194;243;9;299;1848;20;6;-;-;254;-;-;-;-;-;-;-;-;8839;-;64;53;524;10;-;-;16;-;59;90;518;-;-;-;-;-;-;-;-;-;-;-;-
"110004 Cacoal";7501;560;1917;3041;3895;5307;21099;14021;15627;24115;6656;16157;8075;2575;10219;22912;1194;169;96108;3262;2906;4338;6230;7391;357;511;208;198;7210;53906;3053;10948;1568;4931;3555;811;942;1997;8996;818;3659;3282;103;3733;1;31;7;18;4;12;10;41;11;26
"110070 Campo Novo de Rondônia";133;312;834;934;934;1202;4525;2830;2774;2025;578;1498;995;318;1789;6562;262;11;1888;1045;765;865;6266;1066;187;276;-;4;-;7997;1220;1532;131;2897;413;468;125;560;224;91;269;489;10;10;-;-;1;-;-;-;-;-;-;-
"110080 Candeias do Jamari";594;805;2087;2194;2132;2891;7948;4204;4191;5317;1498;5854;3221;882;3929;10376;371;115;6237;1221;642;1136;2081;590;81;487;6;3867;1316;40060;32186;2660;972;6053;552;1170;359;2272;1030;285;6681;7119;9203;2601;-;1;-;-;-;-;-;2;-;2
"110090 Castanheiras";4;215;469;469;568;941;1977;1489;1231;1318;320;484;768;239;636;2722;38;16;523;75;99;225;1157;561;155;51;26;-;660;1384;1294;3672;1092;4321;151;79;115;60;23;142;1082;576;52;1851;1;-;-;-;-;-;-;-;-;7
"110005 Cerejeiras";91;736;1742;1697;1312;1889;7341;4822;4684;7201;764;3297;2041;1383;1147;3237;258;44;8474;504;275;390;668;1079;11;45;-;-;-;8640;2303;2631;229;165;59;105;4;4;-;61;86;316;6;459;-;-;-;-;-;-;-;-;-;-
"110092 Chupinguaia";27;566;1418;1314;936;985;3932;1872;1778;2255;1189;1066;499;126;548;2995;13;21;1230;233;213;291;821;246;32;236;7;27;270;6305;1120;4730;2239;10782;1000;150;131;161;68;151;2931;1945;9;2788;4;7;1;5;-;-;-;2;-;1
"110006 Colorado do Oeste";256;1635;1678;1666;1400;2286;9195;5235;5095;8027;1709;3906;1807;168;1362;5677;231;51;17013;1958;499;1362;5806;2050;14;205;-;46;1553;7231;3195;2523;595;261;268;10;159;4035;4828;122;695;758;513;261;-;1;1;-;-;-;-;43;5;1
"110007 Corumbiara";-;507;1106;1088;1011;1505;4879;2360;2245;2991;352;1542;803;7;2641;9071;34;21;42;64;50;588;3162;311;14;35;-;16189;-;20534;4589;1048;490;8494;146;13;3;89;235;94;1156;281;87;1074;-;1;-;-;-;-;-;-;-;-
"110008 Costa Marques";-;352;1095;1074;1009;1157;4338;2590;2055;2499;729;3305;1331;311;1119;3363;81;67;1505;689;417;1371;1806;630;127;222;222;643;1;4438;385;2102;386;3085;309;53;89;62;2;83;384;612;6;12;-;-;-;-;-;-;-;-;-;-
"110094 Cujubim";-;434;1015;1473;1350;2740;125550;3554;3038;3095;429;2264;720;82;989;2544;39;17;2403;1036;431;578;1022;1515;39;31;1;1;2;659;25;1577;9;49;22;39;2;24;2;60;256;183;212;1553;-;4;-;-;-;1;1;4;2;17
